Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes,Hindi Verification,Verification Notes,,,,,,
1,﻿પાંચમો,,,,,,,,,,Verification Legend,,,,,
,ગ્રહ,,,,,,,,,,0,N/A,77,,Sr_Acc,Fn_Acc
,તો,,તો,Focus,Focus,,,,0,,1,Both Same,23,,0.6842105263,0.8157894737
,ઘણો,,,,,,,,,,2,SR Diff,8,,,
,વિચિત્ર,,,,,,,,,,3,Fn Diff,3,,,
,હતો,,,,,,,,,,4,Both Diff,4,,,
,.,,,,,,,,,,5,Semantic Difference,9,,,
,,,,,,,,,,,,,,,,
2,એ,,,,,,,,,,,,,,,
,સૌથી,,થી,ComparisonRef,ComparisonRef,,,,1,,,,,,,
,નાનો,,,,,,,,,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,હતો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
3,એની,,ની,Whole,Whole,,,,0,,,,,,,
,શેરીમાં,,માં,Locus,Locus,,,,0,,,,,,,
,એક,,,,,,,,,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,હતો,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
4,અને,,,,,,,,,,,,,,,
,એક,,,,,,,,,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,સળગાવનાર,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5,બસ,,,,,,,,,,,,,,,
,આટલું,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,હતું,,,,,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,પર,,પર,Locus,Locus,,,,0,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6,અને,,,,,,,,,,,,,,,
,બીજી,,,,,,,,,,,,,,,
,કોઈ,,,,,,,,,,,,,,,
,વસ્તુ,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,વ્યક્તિ,,,,,,,,,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,,0,,,,,,,
,ત્યાં,,,,,,,,,,,,,,,
,જગ્યા,,,,,,,,,,,,,,,
,પણ,,પણ,Focus,Focus,,,,,,,,,,,
,ન,,,,,,,,,,,,,,,
,હતી,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
7,રાજકુમારને,,ને,Experiencer,Recipient,,,,5,,,,,,,
,આ,,,,,,,,,,,,,,,
,ટચૂકડા,,,,,,,,,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,પર,,પર,Locus,Locus,,,,1,,,,,,,
,શેરીમાં,,માં,Locus,Locus,,,,0,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,સળગાવવાનો,,નો,Theme,Theme,,,,0,,,,,,,
,અર્થ,,,,,,,,,,,,,,,
,સમજાયો,,,,,,,,,,,,,,,
,નહીં,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
8,એ,,,,,,,,,,,,,,,
,ગ્રહ,,,,,,,,,,,,,,,
,પર,,પર,Locus,Locus,,,,0,,,,,,,
,કોઈ,,,,,,,,,,,,,,,
,ઘર,,,,,,,,,,,,,,,
,ન,,,,,,,,,,,,,,,
,હતું,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,કોઈ,,,,,,,,,,,,,,,
,રહેતું,,,,,,,,,,,,,,,
,પણ,,,,,,,,,,,,,,,
,ન,,,,,,,,,,,,,,,
,હતું,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
9,તે,,,,,,,,,,,,,,,
,પછી,,,,,,,,,,,,,,,
,આ,,,,,,,,,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,શા,,,,,,,,,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,,0,,,,,,,
,?,,,,,,,,,,,,,,,
,પણ,,પણ,`,,,,,,,,,,,,
,એણે,,એ,Originator,Agent,,,,0,,,,,,,
,પોતાને,,ને,Recipient,Recipient,,,,0,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,ફકત,,,,,,,,,,,,,,,
,સંભળાય,,,,,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,રીતે,,રીતે,Manner,Manner,,,,0,,,,,,,
,કહ્યું,,,,,,,,,,,,,,,
,:,,,,,,,,,,,,,,,
,“,,,,,,,,,,,,,,,
,કદાચ,,,,,,,,,,,,,,,
,આ,,,,,,,,,,,,,,,
,માણસ,,,,,,,,,,,,,,,
,પણ,,પણ,Focus,Focus,,,,,,,,,,,
,વિચિત્ર,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
10,પણ,,પણ,`,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,પેલા,,,,,,,,,,,,,,,
,રાજા,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,ગુમાની,,,,,,,,,,,,,,,
,માણસ,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,વેપારી,,,,,,,,,,,,,,,
,અને,,,,,,,,,,,,,,,
,દારૂડિયા,,,,,,,,,,,,,,,
,જેટલો,,જેટલો,ComparisonRef,ComparisonRef,,,,1,,,,,,,
,વિચિત્ર,,,,,,,,,,,,,,,
,તો,,તો,Focus,Focus,,,,0,,,,,,,
,નથી,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,,,,,,,,
,.,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,,,,
11,કારણ,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,એના,,ના,Gestalt,Gestalt,,,,2,SR is Agent,,,,,,
,કામનો,,નો,Theme,Theme,,,,4,Hindi has Gestalt,,,,,,
,કાંઈક,,,,,,,,,,,,,,,
,તો,,તો,Focus,Focus,,,,2,Focus marker,,,,,,
,અર્થ,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
12,એ,,,,,,,,,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,સળગાવે,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,ત્યારે,,,,,,,,,,,,,,,
,જાણે,,,,,,,,,,,,,,,
,કોઈ,,,,,,,,,,,,,,,
,નવા,,,,,,,,,,,,,,,
,તારલા,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,ફૂલને,,ને,Beneficiary,Recipient,,,,0,,,,,,,
,જીવન,,,,,,,,,,,,,,,
,આપ્યું,,,,,,,,,,,,,,,
,હોય,,,,,,,,,,,,,,,
,એમ,,,,,,,,,,,,,,,
,લાગે,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
13,જ્યારે,,,,,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,દીવાને,,ને,Theme,Theme,,,,1,,,,,,,
,ઓલવે,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,ત્યારે,,,,,,,,,,,,,,,
,એ,,,,,,,,,,,,,,,
,તારલા,,,,,,,,,,,,,,,
,કે,,,,,,,,,,,,,,,
,ફૂલને,,ને,Theme,Theme,,,,0,,,,,,,
,સૂવડાવી,,,,,,,,,,,,,,,
,દેતો,,,,,,,,,,,,,,,
,હોય,,,,,,,,,,,,,,,
,એમ,,,,,,,,,,,,,,,
,લાગે,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
14,આ,,,,,,,,,,,,,,,
,તો,,તો,Focus,Focus,,,,2,"Focus marker, Same as 11",,,,,,
,બહું,,,,,,,,,,,,,,,
,જ,,જ,Focus,Focus,,,,0,,,,,,,
,સુંદર,,,,,,,,,,,,,,,
,કામ,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,વ્યવસાય,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
15,અને,,,,,,,,,,,,,,,
,સુંદર,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,તેથી,,થી,Explanation,Explanation,,,,1,,,,,,,
,જ,,જ,Focus,Focus,,,,1,,,,,,,
,ખૂબ,,,,,,,,,,,,,,,
,ઉપયોગી,,,,,,,,,,,,,,,
,પણ,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
16,ગ્રહ,,,,,,,,,,,,,,,
,પર,,પર,Goal,Locus,,,,1,,,,,,,
,પહોંચીને,,,,,,,,,,,,,,,
,રાજકુમારે,,એ,Agent,Agent,,,,2,Hindi has Originator,,,,,,
,દીવો,,,,,,,,,,,,,,,
,સળગાવનારને,,ને,Theme,Theme,,,,3,Hindi has Theme,,,,,,
,પ્રણામ,,,,,,,,,,,,,,,
,કર્યા,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
17,સામેથી,,સામેથી,Manner,Source,,,,0,,,,,,,
,દીવો,,,,,,,,,,,,,,,
,સળગાવનારે,,એ,Originator,Agent,,,,0,,,,,,,
,પણ,,,,,,,,,,,,,,,
,પ્રણામ,,,,,,,,,,,,,,,
,કરીને,,,,,,,,,,,,,,,
,કહ્યું,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,“,,,,,,,,,,,,,,,
,હુકમ,,,,,,,,,,,,,,,
,આપવામાં,,માં,Circumstance,Circumstance,,,,0,,,,,,,
,આવ્યો,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,",",,,,,,,,,,,,,,,
,Good,,,,,,,,,,,,,,,
,Morning,,,,,,,,,,,,,,,
,.,,,,,,,,,,,,,,,
,"""",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
18,“,,,,,,,,,,,,,,,
,શું,,,,,,,,,,,,,,,
,હુકમ,,,,,,,,,,,,,,,
,છે,,,,,,,,,,,,,,,
,?,,,,,,,,,,,,,,,
,“,,,,,,,,,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,,0,,,,,,,
,પૂછયું,,,,,,,,,,,,,,,
