Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes
1,﻿બીજા,,,,,,,
,ગ્રહ,,,,,,,
,પર,,પર,Locus,Locus,,,
,એક,,,,,,,
,અત્યંત,,,,,,,
,ગુમાની,,,,,,,
,માણસ,,,,,,,
,રહેતો,,,,,,,
,હતો,,,,,,,
,.,,,,,,,
,,,,,,,,
2,“,,,,,,,
,આહ,,,,,,,
,!,,,,,,,
,હવે,,,,,,,
,મારો,,નો,SocialRel,Gestalt,,,
,પ્રસંશક,,,,,,,
,મને,,ને,Theme,Recipient,,,
,મળવા,,,,,,,
,આવી,,,,,,,
,રહ્યો,,,,,,,
,છે,,,,,,,
,!,,,,,,,
,”,,,,,,,
,એણે,,એ,Originator,Agent,,,
,રાજકુમારને,,ને,Stimulus,Theme,,,
,દૂરથી,,થી,Source,Source,,,
,આવતો,,,,,,,
,જોઈને,,,,,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
3,કારણ,,,,,,,
,કે,,,,,,,
,ગુમાની,,,,,,,
,માણસો,,,,,,,
,માટે,,માટે,Circumstance,Circumstance,,,
,",",,,,,,,
,પોતાના,,ના,PartPortion,PartPortion,1:1,,See Sentence 10 in Chapter 10
,સિવાયના,,સિવાયના,,,1:2,,
,બીજા,,,,,,,
,બધા,,,,,,,
,જ,,જ,Focus,Focus,,,
,લોકો,,,,,,,
See Sentence 2,એમના,,ના,SocialRel,Gestalt,,,
,પ્રસંશક,,,,,,,
,હોય,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
4,“,,,,,,,
,પ્રણામ,,,,,,,
,”,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,",",,,,,,,
,“,,,,,,,
,ઓહ,,,,,,,
,",",,,,,,,
,તમે,,,,,,,
,હેટ,,,,,,,
,પહેરી,,,,,,,
,છે,,,,,,,
,!,,,,,,,
,"""",,,,,,,
,,,,,,,,
5,“,,,,,,,
,આ,,,,,,,
,હેટ,,,,,,,
,સલામી,,,,,,,
,ઝીલવાને,,ને,Purpose,Purpose,,,This is a very weird usage of the dative ને. i'll have to think more about this one.
,ટેવાયેલી,,,,,,,
,છે,,,,,,,
,",",,,,,,,
,”,,,,,,,
,ગુમાની,,,,,,,
,માણસે,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
6,“,,,,,,,
,જ્યારે,,,,,,,
,મને,,ને,Recipient,Recipient,,,
,લોકો,,,,,,,
,સલામી,,,,,,,
,ભરે,,,,,,,
,ત્યારે,,,,,,,
,હું,,,,,,,
,આ,,,,,,,
,હેટને,,ને,Theme,Theme,,,
,હાથમાં,,માં,Goal,Locus,,,
,લઈ,,,,,,,
,ઉત્તર,,,,,,,
,આપું,,,,,,,
,છું,,,,,,,
,.,,,,,,,
,,,,,,,,
7,કમનસીબે,,,,,,,
,",",,,,,,,
,અહીંથી,,થી,Path,Path,,,
,કયારેય,,ય,Focus,Focus,,,
,કોઈ,,,,,,,
,પસાર,,,,,,,
,થતું,,,,,,,
,નથી,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
8,“,,,,,,,
,એમ,,,,,,,
,?,,,,,,,
,”,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
9,જોકે,,,,,,,
,એ,,,,,,,
,ગુમાની,,,,,,,
,માણસ,,,,,,,
,જે,,,,,,,
,બોલી,,,,,,,
,રહ્યો,,,,,,,
,હતો,,,,,,,
,એમાં,,માં,Topic,Topic,,,
,એને,,ને,Experiencer,Agent,,,
,કાંઈ,,,,,,,
,સમજણ,,,,,,,
,પડી,,,,,,,
,ન,,,,,,,
,હતી,,,,,,,
,.,,,,,,,
,,,,,,,,
10,“,,,,,,,
,એક,,,,,,,
,હાથની,,ની,Whole,Whole,,,
,હથેળી,,,,,,,
,પર,,પર,Locus,Locus,,,
,બીજી,,,,,,,
,હથેળી,,,,,,,
,વડે,,વડે,Instrument,Instrument,,,
,તાળી,,,,,,,
,પાડ,,,,,,,
,જોઉં,,,,,,,
,",",,,,,,,
,”,,,,,,,
,ગુમાની,,,,,,,
,માણસે,,એ,Originator,Agent,,,
,હુકમ,,,,,,,
,કર્યો,,,,,,,
,.,,,,,,,
,,,,,,,,
11,નાનકડા,,,,,,,
,રાજકુમારે,,એ,Agent,Agent,,,
,તાળી,,,,,,,
,પાડી,,,,,,,
,.,,,,,,,
,,,,,,,,
12,ગુમાની,,,,,,,
,માણસે,,એ,Agent,Agent,,,
,પોતાની,,ની,Possessor,Possessor,,,
,હેટ,,,,,,,
,માથા,,,,,,,
,પરથી,,પરથી,Source,Source,,,
,સહેજ,,,,,,,
,ઉંચકી,,,,,,,
,.,,,,,,,
,,,,,,,,
13,“,,,,,,,
,અહીં,,,,,,,
,તો,,તો,Focus,Focus,,,
,રાજા,,,,,,,
,સાથેની,,સાથેની,Ancillary,Ancillary,,, This almost has an Identity feel to it
,મુલાકાત,,,,,,,
,કરતાં,,,,,,,
,ય,,ય,Focus,Focus,,,
,વધુ,,,,,,,
,ગમ્મત,,,,,,,
,આવે,,,,,,,
,છે,,,,,,,
,",",,,,,,,
,”,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,પોતાની,,,,,,,
,જાતને,,ને,Recipient,Recipient,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
14,પછી,,,,,,,
,એ,,,,,,,
,તો,,તો,Focus,Focus,,,
,તાળીઓ,,,,,,,
,પાડવા,,,,,,,
,માંડયો,,,,,,,
,.,,,,,,,
,,,,,,,,
15,અને,,,,,,,
,પેલો,,,,,,,
,ગુમાની,,,,,,,
,માણસ,,,,,,,
,વારંવાર,,,,,,,
,એની,,ની,Possessor,Possessor,,,
,હેટ,,,,,,,
,માથા,,,,,,,
,પરથી,,પરથી,Source,Source,,,
,સહેજ,,,,,,,
,ઉંચી,,,,,,,
,કરી,,,,,,,
,પાછી,,,,,,,
,મૂકતો,,,,,,,
,રહ્યો,,,,,,,
,.,,,,,,,
,,,,,,,,
16,પાંચેક,,,,,,,
,મિનિટ,,,,,,,
,પછી,,પછી,Time,Time,,,
,આપણા,,ના,SocialRel,Gestalt,,,
,આ,,,,,,,
,નાનકડા,,,,,,,
,રાજકુમારને,,ને,Experiencer,Recipient,,,
,એકની,,,,,,,
,એક,,,,,,,
,જ,,જ,Focus,Focus,,,
,રમતથી,,થી,Explanation,Explanation,,,
,કંટાળા,,,,,,,
,આવવા,,,,,,,
,માંડયો,,,,,,,
,.,,,,,,,
,,,,,,,,
17,“,,,,,,,
,અને,,,,,,,
,હેટને,,ને,Theme,Theme,,,
,માથા,,,,,,,
,પરથી,,પરથી,Source,Source,,,
,નીચે,,,,,,,Need to confirm if this is a marker
,લાવવા,,,,,,,
,શું,,,,,,,
,કરવું,,,,,,,
,જોઈએ,,,,,,,
,?,,,,,,,
,”,,,,,,,
,એણે,,એ,Originator,Agent,,,
,પૂછ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
18,પણ,,,,,,,
,પેલા,,,,,,,
,માણસે,,એ,Agent,Agent,,,
,કાંઈ,,,,,,,
,સાંભળ્યું,,,,,,,
,નહીં,,,,,,,
,.,,,,,,,
,,,,,,,,
19,ગુમાની,,,,,,,
,માણસો,,,,,,,
,પોતાના,,ના,Topic,Topic,,,
,વખાણ,,,,,,,
,સિવાય,,સિવાય,PartPortion,PartPortion,,,
,બીજું,,,,,,,
,કાંઈ,,,,,,,
,જ,,જ,Focus,Focus,,,
,સાંભળતા,,,,,,,
,નથી,,,,,,,
,.,,,,,,,
,,,,,,,,
20,“,,,,,,,
,તું,,,,,,,
,શું,,,,,,,
,સાચે,,,,,,,
,જ,,જ,Focus,Focus,,,
See Sentence 2,મારો,,નો,SocialRel,Gestalt,,,
,પ્રસંશક,,,,,,,
,છે,,,,,,,
,?,,,,,,,
,”,,,,,,,
,એણે,,એ,Originator,Agent,,,
,રાજકુમારને,,ને,Recipient,Recipient,,,
,પૂછ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
21,“,,,,,,,
,એટલે,,,,,,,
,શું,,,,,,,
,--,,,,,,,
,પ્રસંશક,,,,,,,
,?,,,,,,,
,“,,,,,,,
,,,,,,,,
22,“,,,,,,,
,પ્રસંશા,,,,,,,
,કરવી,,,,,,,
,એટલે,,,,,,,
,કે,,,,,,,
,આ,,,,,,,
,ગ્રહ,,,,,,,
,પર,,પર,Locus,Locus,,,
,હું,,,,,,,
,સૌથી,,,,,,,
,વધુ,,,,,,,
,દેખાવડો,,,,,,,
,",",,,,,,,
,સુંદર,,,,,,,
,કપડાં,,,,,,,
,પહેરનાર,,,,,,,
,",",,,,,,,
,ધનવાન,,,,,,,
,અને,,,,,,,
,બુદ્ધિમાન,,,,,,,
,છું,,,,,,,
,એમ,,,,,,,
,માનવું,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
23,“,,,,,,,
,પણ,,પણ,`,,,,
,આ,,,,,,,
,ગ્રહ,,,,,,,
,પર,,પર,Locus,Locus,,,
,તો,,તો,`,,,,
,તમે,,,,,,,
,એકલા,,,,,,,
,જ,,જ,Focus,Focus,,,
,છો,,,,,,,
,!,,,,,,,
,”,,,,,,,
,,,,,,,,
24,“,,,,,,,
,છતાંય,,ય,Focus,Focus,,,
,તું,,,,,,,
,મારી,,ની,Topic,Topic,,,
,પ્રસંશા,,,,,,,
,કર,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
25,“,,,,,,,
,હું,,,,,,,
,તમારી,,ની,Topic,Topic,,,
,પ્રસંશા,,,,,,,
,કરું,,,,,,,
,છું,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
26,ખભા,,,,,,,
,ઉલાળીને,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,",",,,,,,,
,“,,,,,,,
,પણ,,,,,,,
,એમાં,,માં,Circumstance,Circumstance,,,
,તમને,,ને,Experiencer,Recipient,,,
,કેમ,,,,,,,
,આટલો,,,,,,,
,બધો,,,,,,,
,રસ,,,,,,,
,પડે,,,,,,,
,છે,,,,,,,
,?,,,,,,,
,”,,,,,,,
,કહીને,,,,,,,
,રાજકુમાર,,,,,,,
,ત્યાંથી,,થી,Source,Source,,,
,ચાલી,,,,,,,
,નીકળ્યો,,,,,,,
,.,,,,,,,
,,,,,,,,
27,“,,,,,,,
,વડીલો,,,,,,,
,સાચે,,,,,,,
,જ,,જ,Focus,Focus,,,
,ખૂબ,,,,,,,
,વિચિત્ર,,,,,,,
,હોય,,,,,,,
,છે,,,,,,,
,",",,,,,,,
,”,,,,,,,
,એમ,,,,,,,
,વિચારતો,,,,,,,
,નાનકડો,,,,,,,
,રાજકુમાર,,,,,,,
,આગળ,,,,,,,
,ચાલ્યો,,,,,,,
,.,,,,,,,
