Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes
1,﻿એ,,,,,,,
,પછીના,,ના,Identity,Identity,,,
,ગ્રહ,,,,,,,
,પર,,પર,Locus,Locus,,,
,એક,,,,,,,
,દારૂડિયો,,,,,,,
,રહેતો,,,,,,,
,હતો,,,,,,,
,.,,,,,,,
,,,,,,,,
2,રાજકુમારની,,ની,Gestalt,Gestalt,,,
,એની,,ની,Ancillary,Ancillary,1:1,,
,સાથેની,,સાથેની,,,1:2,,
,મુલાકાત,,,,,,,
,બહુ,,,,,,,
,જ,,જ,Focus,Focus,,,
,ટૂંકી,,,,,,,
,રહી,,,,,,,
,.,,,,,,,
,,,,,,,,
3,છતાંય,,ય,Focus,Focus,,,
,એ,,,,,,,
,દારૂડિયાને,,ને,Theme,Theme,,,
,મળ્યા,,,,,,,
,પછી,,પછી,Time,Time,,,
,આપણો,,નો,SocialRel,Gestalt,,,
,નાનકડો,,,,,,,
,રાજકુમાર,,,,,,,
,ઘણો,,,,,,,
,ઉદાસ,,,,,,,
,થઈ,,,,,,,
,ગયો,,,,,,,
,.,,,,,,,
,,,,,,,,
4,“,,,,,,,
,તમે,,,,,,,
,અહીં,,,,,,,
,શું,,,,,,,
,કરો,,,,,,,
,છો,,,,,,,
,?,,,,,,,
,ખાલી,,,,,,,
,અને,,,,,,,
,ભરેલી,,,,,,,
,બાટલીઓના,,ના,Stuff,Stuff,,,
,ઢગલા,,,,,,,
,વચ્ચે,,વચ્ચે,Locus,Locus,,,
,બેઠેલા,,,,,,,
,દારૂડિયાને,,ને,Recipient,Recipient,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,પૂછ્યું,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
5,“,,,,,,,
,હું,,,,,,,
,પી,,,,,,,
,રહ્યો,,,,,,,
,છું,,,,,,,
,",",,,,,,,
,”,,,,,,,
,નશાભર્યા,,,,,,,
,અવાજમાં,,માં,Manner,Manner,,,
,દારૂડિયાએ,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
6,“,,,,,,,
,તમે,,,,,,,
,કેમ,,,,,,,
,પીઓ,,,,,,,
,છો,,,,,,,
,?,,,,,,,
,“,,,,,,,
,,,,,,,,
7,“,,,,,,,
,ભૂલવા,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,
,",",,,,,,,
,”,,,,,,,
,દારૂડિયાએ,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
8,“,,,,,,,
,શું,,,,,,,
,ભૂલવા,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,
,?,,,,,,,
,”,,,,,,,
,રાજકુમારને,,ને,Experiencer,Recipient,,,
,દારૂડિયાની,,ની,Stimulus,Theme,,,
,દયા,,,,,,,
,આવવા,,,,,,,
,માંડી,,,,,,,
,હતી,,,,,,,
,.,,,,,,,
,,,,,,,,
10,“,,,,,,,
,મને,,ને,Experiencer,Recipient,,,
,શરમ,,,,,,,
,આવે,,,,,,,
,છે,,,,,,,
,એ,,,,,,,
,ભૂલવા,,,,,,,
,માંગું,,,,,,,
,છું,,,,,,,
,",",,,,,,,
,”,,,,,,,
,દારૂડિયાએ,,એ,Originator,Agent,,,
,માથું,,,,,,,
,નમાવી,,,,,,,
,ખુલાસો,,,,,,,
,કર્યો,,,,,,,
,.,,,,,,,
,,,,,,,,
11,“,,,,,,,
,શાની,,ની,Theme,Theme,,,
,શરમ,,,,,,,
,?,,,,,,,
,”,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,એ,,,,,,,
,માણસને,,ને,Recipient,Recipient,,,
,કાંઈક,,,,,,,
,મદદ,,,,,,,
,કરવાના,,ના,Purpose,Purpose,,,
,ઈરાદાથી,,થી,Explanation,Source,,,
,પૂછ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
12,“,,,,,,,
,હું,,,,,,,
,દારૂ,,,,,,,
,પીઉં,,,,,,,
,છું,,,,,,,
,એની,,ની,Topic,Topic,,,
,મને,,ને,Experiencer,Recipient,,,
,શરમ,,,,,,,
,આવે,,,,,,,
,છે,,,,,,,
,",",,,,,,,
,”,,,,,,,
,આટલું,,,,,,,
,જેમ,,,,,,,
,તેમ,,,,,,,
,બોલીને,,,,,,,
,દારૂડિયો,,,,,,,
,ચૂપ,,,,,,,
,થઈ,,,,,,,
,ગયો,,,,,,,
,.,,,,,,,
,,,,,,,,
13,અને,,,,,,,
,",",,,,,,,
,ગૂંચવાયેલા,,,,,,,
,મને,,એ,Manner,Manner,,,
,રાજકુમાર,,,,,,,
,ત્યાંથી,,થી,Source,Source,,,
,ચાલી,,,,,,,
,નીકળ્યો,,,,,,,
,.,,,,,,,
,,,,,,,,
14,“,,,,,,,
,વડિલો,,,,,,,
,કેવા,,,,,,,
,વિચિત્ર,,,,,,,
,હોય,,,,,,,
,છે,,,,,,,
,!,,,,,,,
,”,,,,,,,
,એમ,,,,,,,
,ગણગણતો,,,,,,,
,એ,,,,,,,
,આગળ,,,,,,,
,ચાલ્યો,,,,,,,
,.,,,,,,,
