Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes
1,﻿પાંચમે,,,,,,,
,દિવસે,,એ,Time,Time,,,
,",",,,,,,,
,ફરીથી,,થી,Frequency,Frequency,,,
,ઘેટાને,,ને,Explanation,Explanation,1:1,,
,લીધે,,લીધે,,,1:2,,
,જ,,જ,Focus,Focus,,,
,",",,,,,,,
,એ,,,,,,,
,નાનકડા,,,,,,,
,રાજકુમારના,,ના,Theme,Gestalt,,,
,જીવનના,,ના,Topic,Topic,,,
,રહસ્યની,,ની,Topic,Topic,,,
,મને,,ને,Experiencer,Recipient,,,
,જાણ,,,,,,,
,થઈ,,,,,,,
,.,,,,,,,
,,,,,,,,
2,વિચારોમાં,,માં,Theme,Theme,,,
,ઘણો,,,,,,,
,સમય,,,,,,,
,ડૂબી,,,,,,,
,રહ્યા,,,,,,,
,પછી,,,,,,,
,એણે,,એ,Originator,Agent,,,
,મને,,ને,Recipient,Recipient,,,
,પૂછયું,,,,,,,
,:,,,,,,,
,“,,,,,,,
,ઘેટું,,,,,,,
,જો,,,,,,,
,નાનકડા,,,,,,,
,છોડ,,,,,,,
,ખાઈ,,,,,,,
,શકે,,,,,,,
,તો,,તો,`,,,,
,શું,,,,,,,
,ફૂલને,,ને,Theme,Theme,,,
,પણ,,પણ,Focus,Focus,,,
,ખાઈ,,,,,,,
,જાય,,,,,,,
,ખરૂં,,,,,,,
,?,,,,,,,
,”,,,,,,,
,,,,,,,,
3,“,,,,,,,
,ઘેટું,,,,,,,
,તો,,તો,Focus,Focus,,,
,જે,,,,,,,
,આવે,,,,,,,
,તે,,,,,,,
,બધું,,,,,,,
,જ,,જ,Focus,Focus,,,
,ખાઈ,,,,,,,
,જાય,,,,,,,
,"""",,,,,,,
,.,,,,,,,
,,,,,,,,
4,“,,,,,,,
,કાંટાવાળા,,વાળા,PartPortion,Characteristic,,,Are thorns part of the flower?
,ફૂલ,,,,,,,
,પણ,,પણ,`,,,,
,?,,,,,,,
,”,,,,,,,
,,,,,,,,
5,“,,,,,,,
,હા,,,,,,,
,",",,,,,,,
,કાંટાવાળા,,વાળા,PartPortion,Characteristic,,,
,ફૂલ,,,,,,,
,પણ,,પણ,`,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
6,“,,,,,,,
,તો,,તો,`,,,,
,પછી,,,,,,,
,કાંટા,,,,,,,
,...,,,,,,,
,એમનો,,નો,Theme,Theme,,,
,શું,,,,,,,
,અર્થ,,,,,,,
,?,,,,,,,
,”,,,,,,,
,,,,,,,,
7,હું,,,,,,,
,જવાબ,,,,,,,
,આપી,,,,,,,
,શક્યો,,,,,,,
,નહીં,,,,,,,
,.,,,,,,,
,,,,,,,,
8,તે,,,,,,,
,સમયે,,એ,Time,Time,,,
,હું,,,,,,,
,મારા,,ના,Possessor,Possessor,,,
,એન્જિનમાં,,માં,Locus,Locus,,,
,ભરાઈ,,,,,,,
,ગયેલા,,,,,,,
,એક,,,,,,,
,બોલ્ટને,,ને,Theme,Theme,,,
,કાઢવા,,,,,,,
,મથી,,,,,,,
,રહ્યો,,,,,,,
,હતો,,,,,,,
,.,,,,,,,
,,,,,,,,
9,મને,,ને,Experiencer,Recipient,,,
,ઘણી,,,,,,,
,ચિંતા,,,,,,,
,થવા,,,,,,,
,માંડી,,,,,,,
,હતી,,,,,,,
,",",,,,,,,
,કારણકે,,,,,,,
,મારું,,નું,Possessor,Possessor,,,
,વિમાન,,,,,,,
,તદ્દન,,,,,,,
,નકામું,,,,,,,
,થઈ,,,,,,,
,ગયું,,,,,,,
,હતું,,,,,,,
,.,,,,,,,
,,,,,,,,
10,મારી,,ની,Possessor,Locus,1:1,,
,પાસે,,પાસે,,,1:2,,
,પીવાનું,,નું,Characteristic,Characteristic,,,
,પાણી,,,,,,,
,પણ,,પણ,Focus,Focus,,,
,થોડુંક,,,,,,,
,રહ્યું,,,,,,,
,હોવાથી,,થી,Explanation,Explanation,,,
,મને,,ને,Experiencer,Recipient,,,
,ખૂબ,,,,,,,
,જ,,જ,Focus,Focus,,,
,ડર,,,,,,,
,લાગવા,,,,,,,
,માંડ્યો,,,,,,,
,--,,,,,,,
,મોતનો,,નો,Theme,Theme,,,
,.,,,,,,,
,,,,,,,,
11,“,,,,,,,
,કહોને,,,,,,,
,",",,,,,,,
,કાંટાના,,ના,Theme,Theme,,,
,શું,,,,,,,
,અર્થ,,,,,,,
,!,,,,,,,
,“,,,,,,,
,,,,,,,,
12,એ,,,,,,,
,નાનકડા,,,,,,,
,રાજકુમારને,,ને,Gestalt,Recipient,,,"This one is super tough,"
,એવી,,,,,,,
,ટેવ,,,,,,,
,હતી,,,,,,,
,કે,,,,,,,
,એક,,,,,,,
,વાર,,,,,,,
,એ,,,,,,,
,પ્રશ્ન,,,,,,,
,પૂછે,,,,,,,
,એટલે,,,,,,,
,એનો,,નો,Topic,Topic,,,
,જવાબ,,,,,,,
,ન,,,,,,,
,મળે,,,,,,,
,ત્યાં,,,,,,,
,સુધી,,સુધી,EndTime,EndTime,,,
,એ,,,,,,,
,બસ,,,,,,,
,પૂછ્યા,,,,,,,
,જ,,જ,Focus,Focus,,,
,કરે,,,,,,,
,.,,,,,,,
,,,,,,,,
13,અને,,,,,,,
,પછી,,,,,,,
,મેં,,એ,Originator,Agent,,,
,તો,,તો,Focus,Focus,,,
,મારા,,ના,Whole,Whole,,,
,મનમાં,,માં,Goal,Locus,,,
,આવ્યું,,,,,,,
,એમ,,,,,,,
,કહી,,,,,,,
,દીધું,,,,,,,
,:,,,,,,,
,,,,,,,,
14,“,,,,,,,
,કાંટાનો,,નો,Theme,Theme,,,
,કોઈ,,,,,,,
,જ,,જ,Focus,Focus,,,
,ઉપયોગ,,,,,,,
,નથી,,,,,,,
,.,,,,,,,
,,,,,,,,
15,ફૂલો,,,,,,,
,પાસે,,પાસે,Possessor,Locus,,,
,જે,,,,,,,
,કાંટા,,,,,,,
,હોય,,,,,,,
,છે,,,,,,,
,તે,,,,,,,
,તો,,તો,Focus,Focus,,,
,માત્ર,,,,,,,
,બદલો,,,,,,,
,લેવા,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,
,જ,,જ,Focus,Focus,,,
,હોય,,,,,,,
,છે,,,,,,,
,?,,,,,,,
,”,,,,,,,
,,,,,,,,
16,“,,,,,,,
