Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes
1,﻿“,,,,,,,
,લોકો,,,,,,,
,ઝડપી,,,,,,,
,ગાડીઓમાં,,માં,Goal,Locus,,,
,બેસી,,,,,,,
,તો,,તો,Focus,Focus,,,
,જાય,,,,,,,
,છે,,,,,,,
,પણ,,પણ,`,,,,
,એમને,,ને,Experiencer,Recipient,,,
,જ,,જ,Focus,Focus,,,
,ખબર,,,,,,,
,નથી,,,,,,,
,હોતી,,,,,,,
,કે,,,,,,,
,એમને,,ને,Agent,Agent,,,
,ક્યાં,,,,,,,
,જવું,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
2,પછી,,,,,,,
,એ,,,,,,,
,લોકો,,,,,,,
,નકામી,,,,,,,
,દોડાદોડી,,,,,,,
,કરે,,,,,,,
,",",,,,,,,
,ખૂબ,,,,,,,
,ચિડાઈ,,,,,,,
,જાય,,,,,,,
,અને,,,,,,,
,ગોળ,,,,,,,
,ગોળ,,,,,,,
,ફર્યા,,,,,,,
,જ,,જ,Focus,Focus,,,
,કરે,,,,,,,
,…,,,,,,,
,“,,,,,,,
,નાનકડા,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
3,પછી,,,,,,,
,એણે,,એ,Originator,Agent,,,
,ઉમેર્યું,,,,,,,
,",",,,,,,,
,“,,,,,,,
,આવા,,,,,,,
,ઉધમાતથી,,થી,Theme,Manner,,,
,",",,,,,,,
,આવી,,,,,,,
,ધાંધલથી,,થી,Theme,Manner,,,
,",",,,,,,,
,કાંઈ,,,,,,,
,ફાયદો,,,,,,,
,થતો,,,,,,,
,નથી,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
4,એ,,,,,,,
,કૂવો,,,,,,,
,સહારાના,,ના,Identity,Identity,,,
,રણમાં,,માં,Locus,Locus,,,
,મળી,,,,,,,
,આવતા,,,,,,,
,બીજા,,,,,,,
,કૂવાઓ,,,,,,,
,કર્તા,,કર્તા,ComparisonRef,ComparisonRef,,,
,જૂદો,,,,,,,
,જ,,જ,Focus,Focus,,,
,હતો,,,,,,,
,.,,,,,,,
,,,,,,,,
5,સહારાના,,ના,Identity,Identity,,,
,રણમાં,,માં,Locus,Locus,,,
,તો,,તો,Focus,Focus,,,
,રેતીમાં,,માં,Locus,Locus,,,
,ખોદેલા,,,,,,,
,ખાડા,,,,,,,
,જેવા,,જેવા,ComparisonRef,ComparisonRef,,,
,હોય,,,,,,,
,.,,,,,,,
,,,,,,,,
6,આ,,,,,,,
,તો,,તો,`,,,,
,કોઈ,,,,,,,
,ગામમાં,,માં,Locus,Locus,,,
,હોય,,,,,,,
,એવો,,,,,,,
,કૂવો,,,,,,,
,હતો,,,,,,,
,.,,,,,,,
,,,,,,,,
7,પણ,,પણ,`,,,,
,અહીં,,,,,,,
,કોઈ,,,,,,,
,ગામ,,,,,,,
,ન,,,,,,,
,હતું,,,,,,,
,.,,,,,,,
,,,,,,,,
8,એટલે,,,,,,,
,મને,,ને,Experiencer,Recipient,,,
,થયું,,,,,,,
,કે,,,,,,,
,હજી,,,,,,,
,હું,,,,,,,
,સ્વપ્નમાં,,માં,Circumstance,Circumstance,,,
,જ,,જ,Focus,Focus,,,
,છું,,,,,,,
,…,,,,,,,
,.,,,,,,,
,,,,,,,,
9,“,,,,,,,
,કેવું,,,,,,,
,વિચિત્ર,,,,,,,
,!,,,,,,,
,“,,,,,,,
,મેં,,એ,Originator,Agent,,,
,રાજકુમારને,,ને,Recipient,Recipient,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
10,“,,,,,,,
,કૂવો,,,,,,,
,સિંચવા,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,
,તૈયાર,,,,,,,
,ગરગડી,,,,,,,
,",",,,,,,,
,ડોલ,,,,,,,
,",",,,,,,,
,દોરડું,,,,,,,
,…,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
11,એ,,,,,,,
,હસ્યો,,,,,,,
,અને,,,,,,,
,એણે,,એ,Agent,Agent,,,
,દોરડું,,,,,,,
,હાથમાં,,માં,Goal,Locus,,,
,લીધું,,,,,,,
,અને,,,,,,,
,ગરગડીને,,ને,Instrument,Instrument,,,
,ચલાવવા,,,,,,,
,માંડી,,,,,,,
,.,,,,,,,
,,,,,,,,
12,ગરગડી,,,,,,,
,ઘણા,,,,,,,
,વખતથી,,થી,Time,Time,,,
,વપરાયા,,,,,,,
,વગર,,વગર,Manner,Manner,,,
,પડી,,,,,,,
,રહી,,,,,,,
,હોય,,,,,,,
,એમ,,,,,,,
,કણસવા,,,,,,,
,માંડી,,,,,,,
,.,,,,,,,
,,,,,,,,
13,“,,,,,,,
,સંભળાય,,,,,,,
,છે,,,,,,,
,તમને,,ને,Experiencer,Recipient,,,
,?,,,,,,,
,“,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
14,“,,,,,,,
,આપણે,,એ,Agent,Agent,,,
,આ,,,,,,,
,કૂવાને,,ને,Theme,Theme,,,
,જગાડયો,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
15,અને,,,,,,,
,હવે,,,,,,,
,એ,,,,,,,
,ગીત,,,,,,,
,ગાય,,,,,,,
,છે,,,,,,,
,…,,,,,,,
,“,,,,,,,
,,,,,,,,
16,પણ,,પણ,`,,,,
,હું,,,,,,,
,એને,,ને,Theme,Theme,,,
,દોરડું,,,,,,,
,ખેચીને,,,,,,,
,થકવી,,,,,,,
,દેવા,,,,,,,
,માંગતો,,,,,,,
,ન,,,,,,,
,હતો,,,,,,,
,.,,,,,,,
,,,,,,,,
17,“,,,,,,,
,લાવ,,,,,,,
,",",,,,,,,
,તું,,,,,,,
,મને,,ને,Recipient,Recipient,,,
,આપી,,,,,,,
,દે,,,,,,,
,.,,,,,,,
,,,,,,,,
18,એ,,,,,,,
,દોરડું,,,,,,,
,તારે,,ને,Circumstance,Beneficiary,1:1,,
,માટે,,માટે,,,1:2,,
,બહુ,,,,,,,
,વજનદાર,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
19,મેં,,એ,Agent,Agent,,,
,કૂવાની,,ની,Whole,Whole,,,
,પાળી,,,,,,,
,પર,,પર,Locus,Locus,,,
,ડોલ,,,,,,,
,મૂકી,,,,,,,
,અને,,,,,,,
,દોરડા,,,,,,,
,વડે,,વડે,Instrument,Instrument,,,
,બાંધી,,,,,,,
,થાક્યો,,,,,,,
,હોવા,,,,,,,
,છતાંય,,,,,,,
,.,,,,,,,
,,,,,,,,
20,અમારી,,ની,Gestalt,Gestalt,,,
,આ,,,,,,,
,સફળતા,,,,,,,
,ઉપર,,ઉપર,Topic,Topic,,,
,હું,,,,,,,
,ખુશ,,,,,,,
,હતો,,,,,,,
,.,,,,,,,
,,,,,,,,
21,ગરગડીનું,,નું,Gestalt,Gestalt,,,
,ગીત,,,,,,,
,હજીય,,,,,,,
,મારા,,ના,Whole,Whole,,,
,કાનમાં,,માં,Locus,Locus,,,
,ગુંજતું,,,,,,,
,હતું,,,,,,,
,.,,,,,,,
,,,,,,,,
22,ધીમે,,,,,,,
,ધીમે,,,,,,,
,હાલી,,,,,,,
,રહેલા,,,,,,,
,પાણીમાં,,માં,Locus,Locus,,,
,સૂર્યપ્રકાશ,,,,,,,
,ઝળહવા,,,,,,,
,માંડયો,,,,,,,
,હતો,,,,,,,
,.,,,,,,,
,,,,,,,,
23,“,,,,,,,
,મને,,ને,Experiencer,Recipient,,,
,આ,,,,,,,
,પાણીની,,ની,Theme,Theme,,,
,ખૂબ,,,,,,,
,જ,,જ,Focus,Focus,,,
,તરસ,,,,,,,
,લાગી,,,,,,,
,છે,,,,,,,
,",",,,,,,,
,“,,,,,,,
,નાનકડા,,,,,,,
,રાજકુમારે,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
24,અને,,,,,,,
,એને,,ને,Experiencer,Recipient,,,
,શું,,,,,,,
,જોઈતું,,,,,,,
,હતું,,,,,,,
,એની,,ની,Topic,Topic,,,
,મને,,ને,Experiencer,Recipient,,,
,સમજણ,,,,,,,
,પડી,,,,,,,
,.,,,,,,,
,,,,,,,,
25,મેં,,એ,Agent,Agent,,,
,ડોલ,,,,,,,
,એના,,ના,Whole,Whole,,,
,હોઠ,,,,,,,
,પર,,પર,Goal,Locus,,,
,માંડી,,,,,,,
,.,,,,,,,
,,,,,,,,
26,આંખો,,,,,,,
,બંધ,,,,,,,
,કરીને,,,,,,,
,એણે,,એ,Agent,Agent,,,
,ધરાઈને,,ને,Manner,Manner,,,
,પાણી,,,,,,,
,પીધું,,,,,,,
,.,,,,,,,
,,,,,,,,
27,કોઈ,,,,,,,
,સાધારણ,,,,,,,
,સ્ફૂર્તિ,,,,,,,
,આપનાર,,,,,,,
,ખોરાક,,,,,,,
,કરતાં,,કરતાં,ComparisonRef,ComparisonRef,,,
,આ,,,,,,,
,પાણી,,,,,,,
,વધુ,,,,,,,
,તાકાત,,,,,,,
,આપે,,,,,,,
,એવું,,,,,,,
,હતું,,,,,,,
,.,,,,,,,
,,,,,,,,
28,તારલાઓની,,ની,Agent,Ancillary,1:1,,
,સાથે,,સાથે,,,1:2,,
,સાથે,,સાથે,,,1:3,,
,ચાલીને,,,,,,,
,અને,,,,,,,
,ગરાગાડીના,,ના,Gestalt,Gestalt,,,
,ગીત,,,,,,,
,સાથે,,સાથે,Manner,Manner,,,
,અમે,,,,,,,
,મહેનતથી,,થી,Manner,Manner,,,
,એ,,,,,,,
,પાણી,,,,,,,
,ખેંચ્યું,,,,,,,
,હતું,,,,,,,
,.,,,,,,,
,,,,,,,,
29,એથી,,થી,Explanation,Explanation,,,
,એ,,,,,,,
,પાણીની,,ની,Gestalt,Gestalt,,,
,મીઠાશ,,,,,,,
,કાંઈ,,,,,,,
