Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes
1,﻿તે,,,,,,,
,પછી,,પછી,Time,Time,,,
,નાનકડો,,,,,,,
,રાજકુમાર,,,,,,,
,એક,,,,,,,
,ઊંચા,,,,,,,
,પર્વત,,,,,,,
,પર,,પર,Goal,Locus,,,
,ચઢયો,,,,,,,
,.,,,,,,,
,,,,,,,,
2,એણે,,એ,Experiencer,Agent,,,
,તો,,તો,Focus,Focus,,,
,ફકત,,,,,,,
,પોતાના,,ના,Possessor,Possessor,,,
,જ્વાળામુખી,,,,,,,
,જેટલી,,,,,,,
,જ,,જ,Focus,Focus,,,
,ઊંચાઈવાળા,,વાળા,Characteristic,Characteristic,,,
,પર્વતો,,,,,,,
,જોયા,,,,,,,
,હતા,,,,,,,
,",",,,,,,,
,અને,,,,,,,
,એમની,,ની,Gestalt,Gestalt,,,
,ઊંચાઇ,,,,,,,
,એના,,ના,Whole,Whole,,,
,ઘૂંટણ,,,,,,,
,સુધીની,,સુધીની,Extent,Extent,,,
,જ,,જ,Focus,Focus,,,
,હતી,,,,,,,
,.,,,,,,,
,,,,,,,,
3,નાનકડો,,,,,,,
,રાજકુમાર,,,,,,,
,પેલા,,,,,,,
,ત્રણ,,,,,,,
,જ્વાળામુખીઓનો,,નો,Theme,Theme,,,
,ઉપયોગ,,,,,,,
,તો,,તો,Focus,Focus,,,
,ક્યાંક,,,,,,,
,ચઢવા,,,,,,,
,માટે,,માટે,Purpose,Purpose,,,
,ટેબલ,,,,,,,
,તરીકે,,તરીકે,Manner,ComparisonRef,,,
,કરતો,,,,,,,
,.,,,,,,,
,,,,,,,,
4,“,,,,,,,
,આવડા,,,,,,,
,મોટા,,,,,,,
,પર્વત,,,,,,,
,પરથી,,પરથી,Locus,Source,,,
,તો,,તો,Focus,Focus,,,
,હું,,,,,,,
,આખોય,,ય,Focus,Focus,,,
,ગ્રહ,,,,,,,
,અને,,,,,,,
,અહીંના,,ના,Org,Gestalt,,,
,બધા,,,,,,,
,જ,,જ,Focus,Focus,,,
,લોકોને,,ને,Stimulus,Theme,,,
,એક,,,,,,,
,જ,,જ,Focus,Focus,,,
,નજરે,,એ,Manner,Manner,,,
,જોઈ,,,,,,,
,શકીશ,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
5,પણ,,પણ,`,,,,
,એને,,ને,Experiencer,Recipient,,,
,બીજા,,,,,,,
,પર્વતોનાં,,નાં,Whole,Whole,,,
,શિખરો,,,,,,,
,સિવાય,,સિવાય,PartPortion,PartPortion,,,
,બીજુ,,,,,,,
,કાંઈ,,,,,,,
,દેખાયું,,,,,,,
,નહીં,,,,,,,
,.,,,,,,,
,,,,,,,,
6,“,,,,,,,
,નમસ્તે,,,,,,,
,“,,,,,,,
,એણે,,એ,Originator,Agent,,,
,હળવેથી,,થી,Manner,Manner,,,
,કહ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
7,“,,,,,,,
,નમસ્તે,,,,,,,
,...,,,,,,,
,નમસ્તે,,,,,,,
,...,,,,,,,
,નમસ્તે,,,,,,,
,“,,,,,,,
,પડઘો,,,,,,,
,બોલ્યો,,,,,,,
,.,,,,,,,
,,,,,,,,
8,“,,,,,,,
,તું,,,,,,,
,કોણ,,,,,,,
,છે,,,,,,,
,?,,,,,,,
,“,,,,,,,
,નાનકડો,,,,,,,
,રાજકુમાર,,,,,,,
,બોલ્યો,,,,,,,
,.,,,,,,,
,,,,,,,,
9,“,,,,,,,
,તું,,,,,,,
,કોણ,,,,,,,
,છે,,,,,,,
,...,,,,,,,
,તું,,,,,,,
,કોણ,,,,,,,
,છે,,,,,,,
,...,,,,,,,
,તું,,,,,,,
,કોણ,,,,,,,
,છે,,,,,,,
,?,,,,,,,
,“,,,,,,,
,…,,,,,,,
,પડઘાએ,,એ,Originator,Agent,,,
,સામેથી,,સામેથી,Manner,Source,,,
,પૂછ્યું,,,,,,,
,.,,,,,,,
,,,,,,,,
10,“,,,,,,,
,મારો,,નો,SocialRel,Gestalt,,,
,દોસ્ત,,,,,,,
,બની,,,,,,,
,જા,,,,,,,
,.,,,,,,,
,,,,,,,,
11,હું,,,,,,,
,એકલો,,,,,,,
,છું,,,,,,,
,.,,,,,,,
,"""",,,,,,,
,,,,,,,,
12,“,,,,,,,
,હું,,,,,,,
,એકલો,,,,,,,
,છું,,,,,,,
,...,,,,,,,
,હું,,,,,,,
,એકલો,,,,,,,
,છું,,,,,,,
,...,,,,,,,
,હું,,,,,,,
,એકલો,,,,,,,
,છું,,,,,,,
,”,,,,,,,
,.,,,,,,,
,,,,,,,,
13,“,,,,,,,
,કેવો,,,,,,,
,વિચિત્ર,,,,,,,
,ગ્રહ,,,,,,,
,!,,,,,,,
,“,,,,,,,
,રાજકુમારને,,ને,Experiencer,Agent,,,
,થયું,,,,,,,
,.,,,,,,,
,,,,,,,,
14,તદ્દન,,,,,,,
,સૂકો,,,,,,,
,અને,,,,,,,
,એકદમ,,,,,,,
,અણિદાર,,,,,,,
,",",,,,,,,
,ક્રૂર,,,,,,,
,અને,,,,,,,
,ડરામણો,,,,,,,
,.,,,,,,,
,,,,,,,,
15,અને,,,,,,,
,અહીંના,,ના,Org,Gestalt,,,
,લોકો,,,,,,,
,પાસે,,પાસે,Possessor,Locus,,,
,કલ્પના,,,,,,,
,કરવાની,,ની,Purpose,Purpose,,,
,શક્તિ,,,,,,,
,જ,,જ,Focus,Focus,,,
,નથી,,,,,,,
,.,,,,,,,
,,,,,,,,
16,જે,,,,,,,
,કાંઇ,,,,,,,
,કહેવામાં,,માં,Circumstance,Circumstance,,,
,આવે,,,,,,,
,એ,,,,,,,
,જ,,જ,Focus,Focus,,,
,બસ,,,,,,,
,સામું,,,,,,,
,બબડયા,,,,,,,
,કરે,,,,,,,
,...,,,,,,,
,મારા,,ના,Gestalt,Gestalt,,,
,ગ્રહ,,,,,,,
,પર,,પર,Locus,Locus,,,
,તો,,તો,Focus,Focus,,,
,એક,,,,,,,
,ફૂલ,,,,,,,
,હતું,,,,,,,
,.,,,,,,,
,,,,,,,,
17,વળી,,,,,,,
,હંમેશાં,,,,,,,
,એ,,,,,,,
,જ,,જ,Focus,Focus,,,
,પહેલું,,,,,,,
,બોલતું,,,,,,,
,…,,,,,,,
,.,,,,,,,
,"""",,,,,,,
