Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes
1,કયાંય,,ય,Focus,Focus,,,
,સુધી,,સુધી,Extent,Extent,,,
,રેતી,,,,,,,
,",",,,,,,,
,ખડકો,,,,,,,
,અને,,,,,,,
,બરફમાં,,માં,Path,Locus,,,
,ચાલ્યા,,,,,,,
,બાદ,,બાદ,Time,Time,,,
,નાનકડો,,,,,,,
,રાજકુમાર,,,,,,,
,એક,,,,,,,
,રસ્તા,,,,,,,
,પર,,પર,Goal,Locus,,,
,આવી,,,,,,,
,પહેંચ્યો,,,,,,,
,અને,,,,,,,
,રસ્તાઓ,,,,,,,
,તો,,તો,Focus,Focus,,,
,બધા,,,,,,,
,માણસના,,ના,Gestalt,Gestalt,,,
,રહેઠાણ,,,,,,,
,તરફ,,તરફ,Direction,Direction,,,
,જ,,જ,Focus,Focus,,,
,જતા,,,,,,,
,હોય,,,,,,,
,છે,,,,,,,
,.,,,,,,,
,,,,,,,,
2,“,,,,,,,
,નમસ્તે,,,,,,,
,“,,,,,,,
,એણે,,એ,Originator,Agent,,,
,કહ્યું,,,,,,,
,ગુલાબથી,,થી,PartPortion,PartPortion,,,
,ખીચોખીચ,,,,,,,
,ભરેલા,,,,,,,
,બાગની,,ની,Locus,Locus,1:1,,
,વચ્ચે,,વચ્ચે,,,1:2,,
,એ,,,,,,,
,ઊભો,,,,,,,
,હતો,,,,,,,
,.,,,,,,,
,,,,,,,,
3,“,,,,,,,
,નમસ્તે,,,,,,,
,“,,,,,,,
,ગુલાબનાં,,નાં,Identity,Identity,,,
,ફૂલ,,,,,,,
,એકસામટાં,,,,,,,
,બોલ્યાં,,,,,,,
,.,,,,,,,
,,,,,,,,
4,નાનકડો,,,,,,,
,રાજકુમાર,,,,,,,
,એમને,,ને,Stimulus,Theme,,,
,તાકી,,,,,,,
,જ,,જ,Focus,Focus,,,
,રહ્યો,,,,,,,
,.,,,,,,,
,,,,,,,,
5,એ,,,,,,,
,બધા,,,,,,,
,ય,,ય,Focus,Focus,,,
,એના,,ના,ComparisonRef,ComparisonRef,1:1,,
,ફૂલ,,,,,,,
