Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes
1,﻿થોડા,,,,,,,
,જ,,જ,Focus,Focus,,,
,સમયમાં,,માં,Duration,Duration,,,
,હું,,,,,,,
,એ,,,,,,,
,ફૂલ,,,,,,,
,વિષે,,વિષે,Topic,Topic,,,
,ઘણું,,,,,,,
,બધું,,,,,,,
,જાણતો,,,,,,,
,થયો,,,,,,,
,.,,,,,,,
,,,,,,,,
2,એ,,,,,,,
,નાનકડા,,,,,,,
,રાજકુમારના,,ના,Gestalt,Gestalt,,,
,ગ્રહ,,,,,,,
,પર,,પર,Locus,Locus,,,
,ફૂલો,,,,,,,
,ખૂબ,,,,,,,
,જ,,જ,Focus,Focus,,,
,સરળ,,,,,,,
,અને,,,,,,,
,સાદાં,,,,,,,
,હતાં,,,,,,,
,.,,,,,,,
,,,,,,,,
3,એ,,,,,,,
,ફૂલોની,,ની,Whole,Whole,,,
,પાંદડીઓથી,,થી,QuantityItem,Stuff,,,"""whirlwind made from/by the leaves"" .....Chosen Instrument over Means since leaves seem a participant"
,એક,,,,,,,
,જ,,જ,Focus,Focus,,,
,વર્તુળ,,,,,,,
,રચાતું,,,,,,,
,.,,,,,,,
,,,,,,,,
4,આવા,,,,,,,
,ફૂલોને,,ને,Theme,Agent,,,
,વધારે,,,,,,,
,જગ્યા,,,,,,,
,પણ,,પણ,Focus,Focus,,,
,ન,,,,,,,
,જોઈએ,,,,,,,
,.,,,,,,,
,,,,,,,,
5,અને,,,,,,,
,કોઈને,,ને,Experiencer,Recipient,,,
,કશીય,,ય,Focus,Focus,,,
,તકલીફ,,,,,,,
,નહીં,,,,,,,
,.,,,,,,,
,,,,,,,,
6,સવારે,,એ,Time,Time,,,
,ઘાસમાં,,માં,Locus,Locus,,,
,ખીલે,,,,,,,
,અને,,,,,,,
,સાંજ,,,,,,,
,સુધીમાં,,સુધીમાં,EndTime,EndTime,,,
,આરામથી,,થી,Manner,Manner,,,
,વિલાઈ,,,,,,,
,જાય,,,,,,,
,.,,,,,,,
,,,,,,,,
7,પરંતુ,,,,,,,
,એક,,,,,,,
,દિવસ,,,,,,,
,…,,,,,,,
,કોઈ,,,,,,,
,અજાણ,,,,,,,
,જગ્યાએથી,,થી,Source,Source,,,
,ઉડીને,,,,,,,
,આવેલા,,,,,,,
,એક,,,,,,,
,બીજમાંથી,,માંથી,Source,Source,,,
,એક,,,,,,,
,ફૂલ,,,,,,,
,ઉગ્યુ,,,,,,,
,.,,,,,,,
,,,,,,,,
8,અને,,,,,,,
,આ,,,,,,,
,ગ્રહ,,,,,,,
,પરના,,પરના,Gestalt,Gestalt,,,Locus or Gestalt?
,બીજા,,,,,,,
