Sentence_id,Word,Transliteration,Target,Scene role,Function,MWE,Gloss,Notes
1,"﻿આમ,",Aam,,,,,"like this,",
,જેની,jeni,ની,Agent,Ancillary,1:1,whom,Ex.206
,સાથે,saathe,સાથે,,,1:2,with,
,સાચા,saachaa,,,,,true ,
,અર્થમાં,arthmaa,માં,Manner,Manner,,in sense,unsure of function
,વાત,vaat,,,,,talk,
,એવું,evu,,,,,like that,
,કોઈ,koi,,,,,some,
,ન,na,,,,,not,
,"મળવાથી,",malvaathi,થી,Explanation,Explanation,,because meeting,Verbal Modifier
,મેં,mey,એ,Agent,Agent,,I,
,મારી,maari,ની,Theme,Gestalt,,my,Example 218. Refers to a time period. Gen
,જિંદગી,jindagi,,,,,life,
,એકલવાયી,ekalvaayi,,,,,alone,
,જ,j,,,,,only,
,વિતાવી,vitaavi,,,,,spent,
,.,.,,,,,,
,,,,,,,,
2,તે,te,,,,,that,Nominative
,છેક,chhek,,,,,,Specific to Gujarati. Probably a quantifier
,હમણાં,hamna,,,,,now,
,છ,chha,,,,,six,
,વર્ષ,varsh,,,,,years,
,પહેલાં,pehla,પહેલાં,Time,Interval,,before,Sp. Construction 6.6
,સહરાના,saharana,ના,Identity,Identity,,of Sahara,
,રણમાં,rannma,માં,Locus,Locus,,in desert,
,મારા,maara,ના,Possessor,Possessor,,my,does this indicate possession?
,વિમાનનો,vimanno,નો,Theme,Theme,,of plane,Gen
,અકસ્માત,akasmaat,,,,,accident,
,થયો,thayo,,,,,happened,
,ત્યાં,tyaa,,,,,then,
,સુધી,sudhi,સુધી,EndTime,EndTime,,till,
,...,...,,,,,,
,,,,,,,,
3,મારા,maara,ના,Possessor,Possessor,,my,Should it be Whole-> Gestalt since engine is a part of the plane which in turn is possessed
,એન્જિનમાં,enginemaa,માં,Whole,Locus,,in engine,"""Something broken in the engine"" implies some constituent part was broken. ""something in my engine is XYZ"""
,કશુંક,kashuk,,,,,something,
,ભાંગી,bhaangi,,,,,broken,
,ગયું,gayu,,,,,had been,
,હતું,hatu,,,,,,
,.,.,,,,,.,
,,,,,,,,
4,અને,ane,,,,,and,
,મારી,maari,ની,Ancillary,Ancillary,1:1,me,
